# command: if command -v dpkg-query >/dev/null 2>&1; then dpkg-query -W 2>/dev/null | sort; elif command -v pacman >/dev/null 2>&1; then pacman -Q 2>/dev/null | sort; elif command -v apk >/dev/null 2>&1; then apk info -vv 2>/dev/null | sort; elif command -v opkg >/dev/null 2>&1; then opkg list-installed 2>/dev/null | sort; fi || true

adduser	3.134
adwaita-icon-theme	43-1
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.8-1
apt	2.6.1
apt-listchanges	3.24
apt-utils	2.6.1
at-spi2-common	2.46.0-5
base-files	12.4+deb12u12
base-passwd	3.6.1
bash	5.2.15-2+b9
bash-completion	1:2.11-6
bind9-dnsutils	1:9.18.33-1~deb12u2
bind9-host	1:9.18.33-1~deb12u2
bind9-libs:amd64	1:9.18.33-1~deb12u2
binutils	2.40-2
binutils-common:amd64	2.40-2
binutils-x86-64-linux-gnu	2.40-2
bsdextrautils	2.38.1-5+deb12u3
bsdutils	1:2.38.1-5+deb12u3
build-essential	12.9
bzip2	1.0.8-5+b1
ca-certificates	20230311+deb12u1
coreutils	9.1-1
cpio	2.13+dfsg-7.1
cpp	4:12.2.0-3
cpp-12	12.2.0-14+deb12u1
cron	3.0pl1-162
cron-daemon-common	3.0pl1-162
curl	7.88.1-10+deb12u14
dash	0.5.12-2
dbus	1.14.10-1~deb12u1
dbus-bin	1.14.10-1~deb12u1
dbus-daemon	1.14.10-1~deb12u1
dbus-session-bus-common	1.14.10-1~deb12u1
dbus-system-bus-common	1.14.10-1~deb12u1
dbus-user-session	1.14.10-1~deb12u1
dconf-gsettings-backend:amd64	0.40.0-4
dconf-service	0.40.0-4
debconf	1.5.82
debconf-i18n	1.5.82
debian-archive-keyring	2023.3+deb12u2
debian-faq	11.1
debianutils	5.7-0.5~deb12u1
diffutils	1:3.8-4
dirmngr	2.2.40-1.1+deb12u2
distro-info-data	0.58+deb12u5
dmidecode	3.4-1
dmsetup	2:1.02.185-2
doc-debian	11.3+nmu1
dpkg	1.21.23
dpkg-dev	1.21.23
e2fsprogs	1.47.0-2+b2
eslint	6.4.0~dfsg+~6.1.9-7
fakeroot	1.31-1.2
fdisk	2.38.1-5+deb12u3
ffmpeg	7:5.1.9-0+deb12u1
file	1:5.44-3
findutils	4.9.0-4
fontconfig	2.14.1-4
fontconfig-config	2.14.1-4
fonts-dejavu-core	2.37-6
fonts-freefont-ttf	20120503-10
fonts-ipafont-gothic	00303-23
fonts-liberation	1:1.07.4-11
fonts-noto-cjk	1:20220127+repack1-1
fonts-noto-color-emoji	2.042-0+deb12u1
fonts-tlwg-loma-otf	1:0.7.3-1
fonts-unifont	1:15.0.01-2
fonts-wqy-zenhei	0.9.45-8
g++	4:12.2.0-3
g++-12	12.2.0-14+deb12u1
gcc	4:12.2.0-3
gcc-12	12.2.0-14+deb12u1
gcc-12-base:amd64	12.2.0-14+deb12u1
gettext-base	0.21-12
git	1:2.39.5-0+deb12u3
git-man	1:2.39.5-0+deb12u3
gnupg	2.2.40-1.1+deb12u2
